iter	RMSE
246	3689.198797
247	3683.742651
248	3679.621664
249	3675.271622
250	3669.97279
251	3666.176276
252	3662.335268
253	3659.878783
254	3655.501068
255	3653.594485
256	3649.855179
257	3646.435828
258	3642.743281
259	3639.840215
260	3637.398192
261	3634.187592
262	3630.367459
263	3625.924092
264	3623.123282
265	3616.340853
266	3613.46254
267	3610.75524
268	3609.597007
269	3606.38779
270	3604.50416
271	3598.325737
272	3596.043781
273	3592.763653
274	3589.101793
275	3583.420636
276	3577.072486
277	3573.507752
278	3571.710496
279	3568.056873
280	3563.329447
281	3558.920428
282	3554.669483
283	3549.972202
284	3547.558801
285	3544.833284
286	3541.916362
287	3535.225234
288	3533.275488
289	3528.163576
290	3526.102979
291	3523.870081
292	3519.94983
293	3517.980692
294	3516.387347
295	3510.770825
296	3507.393427
297	3505.513277
298	3501.131898
299	3497.709515
300	3493.358456
301	3490.226441
302	3486.520009
303	3484.865316
304	3480.069819
305	3476.880102
306	3474.967687
307	3471.365958
308	3467.194562
309	3465.046737
310	3461.055604
311	3456.815281
312	3453.757927
313	3449.545612
314	3447.463175
315	3443.719595
316	3440.046725
317	3436.277738
318	3432.55957
319	3429.252706
320	3427.53031
321	3424.418375
322	3422.249498
323	3418.965663
324	3416.174318
325	3413.809215
326	3408.112648
327	3406.096246
328	3404.541668
329	3403.164566
330	3400.764228
331	3396.909734
332	3392.947121
333	3390.419114
334	3387.589102
335	3382.373266
336	3377.691444
337	3373.937601
338	3368.677604
339	3365.692371
340	3364.421256
341	3361.093758
342	3357.816522
343	3356.561069
344	3353.940747
345	3351.470122
346	3350.317977
347	3347.626304
348	3346.012058
349	3343.667619
350	3341.571427
351	3337.564211
352	3333.879761
353	3331.138893
354	3328.731246
355	3325.726605
356	3323.399454
357	3322.688939
358	3317.623265
359	3316.107707
360	3314.369858
361	3310.81944
362	3308.400979
363	3307.344775
364	3306.316553
365	3304.486007
366	3301.493151
367	3298.157417
368	3295.918636
369	3293.216759
370	3291.077981
371	3289.556859
372	3286.618082
373	3282.319091
374	3279.750904
375	3278.437969
376	3272.219053
377	3268.022452
378	3263.649789
379	3263.191027
380	3261.962146
381	3259.921052
382	3257.815395
383	3255.119156
384	3250.791612
385	3246.584294
386	3244.468765
387	3240.533813
388	3237.97928
389	3235.507995
390	3233.461223
391	3227.552778
392	3226.215252
393	3225.127876
394	3221.321856
395	3220.266879
396	3217.440719
397	3215.968256
398	3212.574819
399	3210.200425
400	3208.628851
401	3205.15315
402	3201.481764
403	3199.393793
404	3198.14795
405	3195.705357
406	3193.823748
407	3191.355471
408	3186.513692
409	3185.593174
410	3182.491607
411	3180.034245
412	3175.560842
413	3172.055378
414	3168.420201
415	3164.861622
416	3163.054761
417	3157.793194
418	3157.313643
419	3154.940062
420	3153.634002
421	3151.853393
422	3150.531141
423	3148.314555
424	3144.068164
425	3141.316988
426	3138.636582
427	3138.363016
428	3136.62708
429	3135.776691
430	3133.480976
431	3129.103205
432	3127.342161
433	3123.933238
434	3122.096615
435	3118.609494
436	3116.27883
437	3113.584085
438	3110.5808
439	3108.608167
440	3107.357035
441	3104.152475
442	3099.649815
443	3096.263354
444	3091.994144
445	3090.092022
446	3088.556093
447	3085.470581
448	3081.13897
449	3078.422231
450	3074.472086
451	3071.191643
452	3068.959536
453	3065.091628
454	3062.360418
455	3056.93034
456	3054.48331
457	3049.296206
458	3048.136316
459	3045.267689
460	3042.76874
461	3041.733934
462	3038.48967
463	3035.657477
464	3035.026123
465	3033.416611
466	3032.802937
467	3029.864147
468	3026.51352
469	3023.048057
470	3020.235863
471	3018.607022
472	3015.124318
473	3012.542035
474	3010.512778
475	3007.160846
476	3004.407785
477	3002.791038
478	2999.836087
479	2996.764376
480	2995.689726
481	2993.721268
482	2991.814398
483	2987.768169
484	2985.25439
485	2983.419517
486	2981.474527
487	2979.380413
488	2976.184936
489	2972.029464
490	2968.736874
491	2967.338589
492	2964.79605
493	2961.482889
494	2959.694781
495	2957.573499
496	2956.238167
497	2955.172588
498	2953.034374
499	2950.070432
500	2946.527305
501	2946.192281
502	2944.675308
503	2942.897898
504	2939.438409
505	2935.987832
506	2933.41582
507	2928.596732
508	2926.627245
509	2924.304743
510	2922.922552
511	2918.91669
512	2918.284402
513	2916.382317
514	2912.506841
515	2908.33914
516	2905.290398
517	2903.627188
518	2900.752241
519	2898.071888
520	2897.121793
521	2894.597236
522	2892.572754
523	2891.958468
524	2888.756286
525	2887.927423
526	2887.06407
527	2885.543132
528	2880.505147
529	2877.823637
530	2875.882767
531	2873.216422
532	2869.568986
533	2867.645468
534	2864.761321
535	2859.945512
536	2856.844041
537	2853.618187
538	2851.700611
539	2850.071021
540	2848.271814
541	2846.404235
542	2843.621459
543	2841.530486
544	2837.957206
545	2834.976295
546	2831.784666
547	2826.503634
548	2823.639032
549	2821.181494
550	2819.466895
551	2818.261113
552	2816.844639
553	2813.366068
554	2812.525736
555	2809.422911
556	2806.328803
557	2803.157036
558	2801.117971
559	2797.064759
560	2794.564999
561	2791.689911
562	2790.725425
563	2788.690327
564	2785.847681
565	2783.972208
566	2781.865927
567	2779.825759
568	2773.943125
569	2770.86326
570	2767.527784
571	2764.668288
572	2762.230286
573	2759.325543
574	2757.753586
575	2756.524663
576	2754.816809
577	2752.659989
578	2751.100997
579	2749.837946
580	2747.108366
581	2744.447746
582	2740.851304
583	2739.031031
584	2736.530501
585	2735.699991
586	2734.979738
587	2732.790515
588	2731.104287
589	2729.871737
590	2726.036439
591	2724.740539
592	2723.851285
593	2722.124825
594	2719.17421
595	2717.125519
596	2715.027918
597	2711.333688
598	2709.868967
599	2709.175962
600	2707.346839
601	2703.768945
602	2702.131026
603	2701.217544
604	2698.864941
605	2695.738221
606	2694.350468
607	2692.505952
608	2691.214826
609	2687.713559
610	2686.142162
611	2684.901489
612	2682.390378
613	2678.923506
614	2677.497764
615	2675.316576
616	2673.727307
617	2671.368234
618	2668.947822
619	2666.17417
620	2664.674018
621	2659.08511
622	2658.059045
623	2657.505477
624	2656.096121
625	2653.832906
626	2648.731158
627	2648.172747
628	2646.849508
629	2645.51245
630	2644.296577
631	2641.977349
632	2640.157832
633	2639.50298
634	2637.054614
635	2636.08073
636	2635.534807
637	2633.930409
638	2630.75923
639	2629.414979
640	2627.157668
641	2625.009299
642	2623.588054
643	2618.38833
644	2617.017964
645	2615.424455
646	2613.678496
647	2611.144084
648	2609.002595
649	2607.381303
650	2606.156808
651	2604.313806
652	2602.627419
653	2601.387461
654	2600.599948
655	2598.732806
656	2597.092436
657	2595.40505
658	2593.545679
659	2590.828717
660	2587.641389
661	2587.417195
662	2586.885288
663	2585.108464
664	2582.503235
665	2581.422602
666	2579.191867
667	2578.680524
668	2576.089848
669	2571.774419
670	2570.435229
671	2569.192554
672	2567.208896
673	2565.69127
674	2564.835126
675	2561.916983
676	2560.684795
677	2559.253754
678	2557.094377
679	2554.456723
680	2553.586628
681	2553.045518
682	2550.833723
683	2550.3137
684	2547.665501
685	2546.704328
686	2545.912549
687	2541.857786
688	2541.506707
689	2541.050584
690	2539.487164
691	2537.611381
692	2535.75203
693	2534.153487
694	2531.96629
695	2529.685253
696	2529.471236
697	2527.592336
698	2526.573546
699	2525.148507
700	2523.157215
701	2521.07983
702	2520.189635
703	2518.600791
704	2517.267449
705	2517.122047
706	2514.912334
707	2513.443084
708	2510.452423
709	2509.330912
710	2507.524933
711	2506.69957
712	2505.190207
713	2504.61937
714	2502.346481
715	2500.75471
716	2499.437158
717	2498.083902
718	2497.538579
719	2496.852167
720	2495.886228
721	2494.222708
722	2492.383634
723	2491.110331
724	2489.750075
725	2489.031164
726	2488.415898
727	2486.046779
728	2480.901456
729	2479.460535
730	2478.667154
731	2477.000812
732	2475.925443
733	2474.459449
734	2472.609397
735	2468.984499
736	2466.848936
737	2463.997393
738	2463.013222
739	2460.087059
740	2458.934327
741	2456.866823
742	2455.826772
743	2455.262026
744	2452.803168
745	2450.446403
746	2448.523559
747	2447.019459
748	2444.485188
749	2443.102783
750	2442.693569
751	2438.964497
752	2437.691845
753	2436.289823
754	2433.704913
755	2432.996584
756	2432.002418
757	2430.708466
758	2429.48304
759	2427.102236
760	2426.451903
761	2424.988166
762	2423.10462
763	2420.207181
764	2418.142923
765	2417.057133
766	2416.555773
767	2415.22829
768	2414.223298
769	2411.007449
770	2409.867475
771	2408.017258
772	2407.502676
773	2406.275105
774	2404.071345
775	2401.969277
776	2400.10025
777	2398.331781
778	2396.71097
779	2394.833224
780	2393.793873
781	2392.061811
782	2388.744361
783	2386.543526
784	2384.400509
785	2382.212333
786	2381.588269
787	2380.385399
788	2378.393668
789	2376.97505
790	2376.194064
791	2375.769847
792	2374.350613
793	2373.927098
794	2371.369477
795	2371.166586
796	2369.783091
797	2364.757707
798	2362.182265
799	2361.30805
800	2359.043466
801	2358.243688
802	2355.878781
803	2355.466686
804	2354.326616
805	2353.328621
806	2350.962131
807	2349.791622
808	2347.890902
809	2346.955626
810	2345.452993
811	2344.126147
812	2343.510817
813	2342.68946
814	2342.016091
815	2340.503308
816	2339.250984
817	2338.076857
818	2334.957224
819	2332.693111
820	2331.25204
821	2329.319707
822	2327.959495
823	2325.300378
824	2322.625309
825	2319.902088
826	2319.751829
827	2318.996225
828	2316.829067
829	2313.864045
830	2310.753973
831	2309.323509
832	2308.546186
833	2306.981383
834	2306.212907
835	2305.972684
836	2304.494587
837	2302.911979
838	2301.299831
839	2297.955112
840	2295.889328
841	2294.803983
842	2292.383168
843	2289.692799
844	2288.78439
845	2287.096693
846	2285.229036
847	2284.178645
848	2283.451802
849	2281.235487
850	2280.672429
851	2279.47368
852	2277.180392
853	2276.818113
854	2273.595858
855	2271.58015
856	2270.75977
857	2269.559746
858	2268.704524
859	2267.858461
860	2266.840105
861	2264.626921
862	2264.42342
863	2260.16516
864	2256.237811
865	2255.425575
866	2252.076164
867	2251.416478
868	2250.566515
869	2248.266878
870	2247.505805
871	2244.758951
872	2244.390134
873	2241.244303
874	2240.034018
875	2236.46099
876	2233.694427
877	2231.447185
878	2229.268751
879	2228.891171
880	2226.777833
881	2225.739984
882	2222.358401
883	2219.920071
884	2215.596109
885	2214.481914
886	2211.729696
887	2209.675809
888	2208.021803
889	2207.064967
890	2204.734099
891	2203.989455
892	2201.869986
893	2198.0602
894	2197.214792
895	2196.226306
896	2195.365195
897	2194.10923
898	2193.391862
899	2192.41122
900	2190.898405
901	2189.924196
902	2186.145716
903	2184.996473
904	2183.958164
905	2183.087299
906	2181.420966
907	2178.829739
908	2176.824961
909	2174.856876
910	2174.108365
911	2173.203858
912	2171.333426
913	2170.149598
914	2168.619062
915	2167.899377
916	2166.687449
917	2165.692186
918	2165.121478
919	2163.943201
920	2163.068135
921	2159.832767
922	2157.807437
923	2157.029603
924	2156.188564
925	2155.051988
926	2153.111786
927	2151.993519
928	2151.50891
929	2149.88686
930	2148.159515
931	2146.925838
932	2146.332307
933	2145.51232
934	2144.429125
935	2142.176841
936	2141.13731
937	2140.773617
938	2138.813814
939	2134.296739
940	2131.704875
941	2129.807902
942	2128.155783
943	2126.893078
944	2125.112338
945	2123.25936
946	2122.894617
947	2121.184985
948	2120.448587
949	2118.099206
950	2115.379327
951	2114.630814
952	2114.54616
953	2113.669722
954	2112.857143
955	2111.638356
956	2110.589482
957	2109.535092
958	2108.525895
959	2107.698568
960	2107.203006
961	2104.843252
962	2104.217859
963	2102.384313
964	2100.020826
965	2098.463221
966	2097.930292
967	2096.046148
968	2094.92167
969	2094.228286
970	2093.091224
971	2092.135544
972	2091.376232
973	2091.298453
974	2090.617722
975	2089.265773
976	2087.426117
977	2086.395414
978	2085.554791
979	2084.708439
980	2081.737882
981	2080.811169
982	2078.339507
983	2076.536208
984	2076.028091
985	2075.155649
986	2074.370594
987	2073.232234
988	2070.487299
989	2070.279448
990	2069.144208
991	2066.945796
992	2065.654391
993	2063.458217
994	2061.70144
995	2060.803761
996	2059.993426
997	2058.995134
998	2058.375984
999	2058.070422
